abdicate,v. 退位、放弃
abide,v. 遵守、忍受
abolish,v. 废除、取消
abound,v. 充满、到处都是
absolute,adj. 绝对的、专制的
absorb,v. 吸收、承受
abstract,adj. 抽象的
abundantly,adv. 大量地、非常地
abuse,v./n. 虐待、滥用
academic,adj. 学术的
accelerate,v. 加速、促进
access,v./n. 进入、使用
acclaim,v./n. 称赞、喝彩
accommodate,v. 容纳（使）适应
accompany,v. 陪伴、伴随
account,v. 占比、解释；n. 账户、资料
accuracy,n. 精确（性）、准确（性）
achieve,v. 获得、实现
acknowledge,v. 承认、认可
acquire,v. 获得、习得
activate,v. 刺激、激发
acute,adj. 严重的、急性的
adaptable,adj. 适合的、能适应的
adequate,adj. 充足的、充分的
adhere,v. 坚持、遵守
adjoining,adj. 邻接的、相邻的
adjust,v. 调整、适应
administration,n. 管理（美国）政府
admire,v. 钦佩、欣赏
admit,v. 承认
adopt,v. 收养、采纳
adornment,n. 装饰（品）
advocate,v. 提倡、拥护；n. 支持者、拥护者
affect,v. 影响、感动；n. 情感
affiliation,n. 联系、有关联的事物
affirm,v. 肯定、证实
agency,n. 代理、机构
aggravate,v. 加重、恶化
aggregation,n. 聚合、形成
aggressive,adj. 激进的、过激的、有进取心的
agitated,adj. 激动的、焦虑的
agony,n. 痛苦
alien,adj. 外国的；n. 外国人
allay,v. 减轻、使缓和
allegation,n. 指控、陈述
alleviate,v. 减轻（使）缓和
alliance,n. 联合、联盟
allocation,n. 分配、配置
alter,v. 改变、更改
amateur,adj. 业余的；n. 业余爱好者
amazing,adj. 令人惊讶的
ambiguous,adj. 模糊不清的，模棱两可的
ambition,n. 雄心、志向
amplify,v. 扩大、加强
analogy,n. 类比
ancestor,n. 先驱者、祖先
announce,v. 宣布、声明
annoy,v./n. 困扰、烦扰
annual,adj. 年度的、每年的、四季常青的
anonymity,n. 匿名
anticipate,v. 预测、预料
apparent,adj. 明显的
appeal,v./n. 吸引、请求、上诉
appease,v. 安抚、抚慰
apply,v. 运用、适用、申请
appoint,v. 指定、任命
appreciate,v. 感激、欣赏、理解
apprehensive,adj. 忧虑的、不安的
approach,v. 接近、处理；n. 接近、方法
appropriate,adj. 适当的、合适的
arbiter,n. 仲裁者、主宰者
arouse,v. 引起、激发
array,v./n. 排列
artificial,adj. 人造的、人工的
aspect,n. 方面
aspire,v. 渴望、追求
assembly,n. 集合、组装
assert,v. 宣称、断言
assess,v. 评估、估算
asset,n. 资产
assign,v. 分配、布置
assimilation,n. 同化
assist,v. 帮助、协助
associate,v. 联合、使有联系
assume,v. 假设
astrological,adj. 占星的
astronomy,n. 天文学
atmosphere,n. 大气（层）、空气、气氛
attract,v. 吸引
auction,v./n. 拍卖
authority,n. 权力、权威、官方
automated,adj. 自动（化）的
available,adj. 可得到的、存在的
awkward,adj. 尴尬的
bankruptcy,n. 破产
barely,adv. 仅仅、几乎没有
barrier,n. 障碍
behavior,n. 行为、举止
bellyful,n. 满腹
benefactor,n. 捐助者
benign,adj. 良性的、无害的
betray,v. 背叛、揭露
bias,n. 偏见
bid,v./n. 投标、出价
bilingual,adj. 双语的
binary,adj. 非黑即白的、二元的
binding,adj. 有约束力的
biographical,adj. 传记的
board,n. 委员会、董事会
boom,v. 迅速发展；n. 繁荣
bother,v./n. 操心、麻烦
boundary,n. 界限、范围
bribery,n. 行贿、受贿
brief,adj. 简短的、简洁的；n. 摘要、简报
broaden,v. 扩大、加宽
broker,n. 经纪人
bubble,v. 冒泡；n. 气泡、泡沫
budget,v./n. 预算
bureaucratic,adj. 官僚主义的
burst,v./n. 爆炸、爆发
campaign,n. 战役、运动、活动
candidate,n. 候选人
capable,adj. 有能力的
capture,v. 捕捉、吸引；n. 俘虏、战利品
carve,v. 分割、雕刻
category,n. 种类、范畴
cater,v. 迎合、为……服务
caution,v. 警告；n. 小心、谨慎、警告
cavity,n. 腔，（牙齿的）漏洞
